Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/integration/0/3.14159,520,0,11000.0,21052.359012885045,680.3504999988945,47451.71890000347,142.0,2.8996244299444216,0.0,11000,30000,37000,40000,47000,47000,47000,47000,47000,47000,47000
,Aggregated,520,0,11000.0,21052.359012885045,680.3504999988945,47451.71890000347,142.0,2.8996244299444216,0.0,11000,30000,37000,40000,47000,47000,47000,47000,47000,47000,47000
