Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1667839461,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1667839462,1,,Aggregated,0.000000,0.000000,400,400,400,400,400,400,400,400,400,400,400,2,0,391.64300000993535,396.26145000511315,391.64300000993535,400.87990000029095,142.0
1667839463,3,,Aggregated,0.000000,0.000000,440,600,600,710,710,710,710,710,710,710,710,5,0,440.0,506.7471000016667,391.64300000993535,706.2742999987677,142.0
1667839464,4,,Aggregated,2.000000,0.000000,710,840,970,970,990,990,990,990,990,990,990,8,0,600.0,667.5881124992884,391.64300000993535,991.8345999903977,142.0
1667839465,5,,Aggregated,2.000000,0.000000,710,840,970,970,990,990,990,990,990,990,990,8,0,600.0,667.5881124992884,391.64300000993535,991.8345999903977,142.0
1667839466,6,,Aggregated,2.500000,0.000000,970,990,1400,1400,1500,1500,1500,1500,1500,1500,1500,12,0,840.0,922.6586583329967,391.64300000993535,1472.2182999976212,142.0
1667839467,7,,Aggregated,2.500000,0.000000,970,990,1400,1400,1500,1500,1500,1500,1500,1500,1500,12,0,840.0,922.6586583329967,391.64300000993535,1472.2182999976212,142.0
1667839468,8,,Aggregated,2.000000,0.000000,1400,1500,2100,2200,2300,2400,2400,2400,2400,2400,2400,17,0,1400.0,1313.2936411754654,391.64300000993535,2376.941900001839,142.0
1667839469,9,,Aggregated,2.400000,0.000000,1400,1600,2200,2300,2400,2500,2500,2500,2500,2500,2500,19,0,1400.0,1387.4047684205977,391.64300000993535,2456.6142999974545,142.0
1667839470,10,,Aggregated,2.000000,0.000000,1500,1900,2200,2300,2400,2400,2500,2500,2500,2500,2500,21,0,1500.0,1460.9561476189854,391.64300000993535,2456.6142999974545,142.0
1667839471,11,,Aggregated,2.375000,0.000000,1900,2300,2400,2500,3100,3200,3400,3400,3400,3400,3400,26,0,1600.0,1747.34044615336,391.64300000993535,3369.6015999885276,142.0
1667839472,12,,Aggregated,2.375000,0.000000,1900,2300,2500,2500,3200,3300,3400,3400,3400,3400,3400,27,0,1900.0,1806.5442370366159,391.64300000993535,3369.6015999885276,142.0
1667839473,13,,Aggregated,2.333333,0.000000,2100,2400,2500,2800,3300,3400,3800,3800,3800,3800,3800,29,0,2100.0,1908.9573034474722,391.64300000993535,3820.4529999929946,142.0
1667839474,14,,Aggregated,2.400000,0.000000,2200,2500,2800,3100,3400,3800,4600,4600,4600,4600,4600,31,0,2200.0,2050.773690321817,391.64300000993535,4569.802199999685,142.0
1667839475,15,,Aggregated,2.500000,0.000000,2300,2500,3100,3300,3500,3800,4600,4600,4600,4600,4600,33,0,2300.0,2139.5564969685493,391.64300000993535,4569.802199999685,142.0
1667839476,16,,Aggregated,2.400000,0.000000,2400,2800,3400,3500,4100,4800,4900,4900,4900,4900,4900,36,0,2300.0,2346.8370249991294,391.64300000993535,4949.741400007042,142.0
1667839477,17,,Aggregated,2.400000,0.000000,2400,3100,3400,3500,4600,4900,5900,5900,5900,5900,5900,37,0,2400.0,2442.0572675668595,391.64300000993535,5869.986000005156,142.0
1667839478,18,,Aggregated,2.500000,0.000000,2400,3200,3500,3800,4900,5900,6300,6300,6300,6300,6300,39,0,2400.0,2612.1410076914635,391.64300000993535,6307.320099993376,142.0
1667839479,19,,Aggregated,2.300000,0.000000,2500,3500,4100,4800,5500,5500,6300,6300,6300,6300,6300,43,0,2500.0,2874.6654720920096,391.64300000993535,6307.320099993376,142.0
1667839480,20,,Aggregated,2.500000,0.000000,2500,3500,4600,5200,5500,5900,6300,6300,6300,6300,6300,45,0,2500.0,3011.0138511100863,391.64300000993535,6307.320099993376,142.0
1667839481,21,,Aggregated,2.400000,0.000000,2800,3600,4800,5200,5700,6100,7000,7000,7000,7000,7000,46,0,2500.0,3097.720391303364,391.64300000993535,6999.514700000873,142.0
1667839482,22,,Aggregated,2.400000,0.000000,3100,3800,5200,5500,5900,6300,7000,7000,7000,7000,7000,48,0,2800.0,3229.9560958326765,391.64300000993535,7029.27750001254,142.0
1667839483,23,,Aggregated,2.100000,0.000000,3200,4600,5200,5500,6300,7000,8600,8600,8600,8600,8600,50,0,3100.0,3410.6096759991487,391.64300000993535,8622.076399988146,142.0
1667839484,24,,Aggregated,2.100000,0.000000,3300,4800,5500,5500,6400,7000,7000,8600,8600,8600,8600,52,0,3200.0,3531.355721153187,391.64300000993535,8622.076399988146,142.0
1667839485,25,,Aggregated,2.000000,0.000000,3500,5200,5700,6100,7000,8400,8600,9000,9000,9000,9000,56,0,3400.0,3866.852985713714,391.64300000993535,8991.161199999624,142.0
