Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/integration/0/3.14159,695,0,19000.0,16825.54255812948,274.88330000051064,25726.954599998862,186.0,3.8798582426086363,0.0,19000,24000,26000,26000,26000,26000,26000,26000,26000,26000,26000
,Aggregated,695,0,19000.0,16825.54255812948,274.88330000051064,25726.954599998862,186.0,3.8798582426086363,0.0,19000,24000,26000,26000,26000,26000,26000,26000,26000,26000,26000
