Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/httptrigger1/?lower=0&upper=3.14159,1228,0,8300.0,9875.178974918805,654.6234000124969,23121.288299997104,179.0,6.844723076246557,0.0,8300,11000,17000,19000,21000,21000,22000,22000,23000,23000,23000
,Aggregated,1228,0,8300.0,9875.178974918805,654.6234000124969,23121.288299997104,179.0,6.844723076246557,0.0,8300,11000,17000,19000,21000,21000,22000,22000,23000,23000,23000
